#{"t_start": 1761931394.936197, "env_id": "CarRacing-v3"}
r,l,t
-53.333333,1000,9.19878
-48.881789,1000,24.851106
-52.513966,1000,41.164856
-38.906752,1000,58.932194
-47.530864,1000,74.266617
-48.640483,1000,90.390622
-29.133858,1000,105.706913
-62.825279,1000,122.050737
-70.05988,1000,137.330917
-68.965517,1000,152.574417
-79.93311,1000,167.749621
-17.431193,1000,183.279924
-55.05618,1000,198.444491
48.387097,1000,214.390352
-10.780669,1000,230.099221
112.57485,1000,245.410255
19.631902,1000,260.92394
-55.621302,1000,276.570844
-21.985816,1000,291.865963
30.612245,1000,308.929479
-23.333333,1000,325.058356
67.763158,1000,340.944591
369.465649,1000,356.599509
108.333333,1000,371.954411
-45.762712,1000,387.39044
96.078431,1000,405.222308
183.687943,1000,420.837655
22.44898,1000,437.443874
242.007435,1000,452.761996
44.736842,1000,469.155069
57.718121,1000,485.546304
414.851485,1000,501.580544
398.316498,1000,517.949059
400.0,1000,534.43799
225.088339,1000,550.218668
630.639731,1000,566.618619
457.755776,1000,582.865624
555.797101,1000,598.505385
324.929178,1000,614.182065
-80.748649,822,622.394295
413.333333,1000,638.170567
93.037975,1000,654.833106
554.109589,1000,671.070284
586.520376,1000,686.942795
696.428571,1000,702.771264
520.578778,1000,718.743617
398.127341,1000,735.150986
144.37299,1000,751.853261
98.675497,1000,770.521401
724.175824,1000,788.746974
548.829431,1000,806.562725
321.052632,1000,822.938132
571.814672,1000,839.729118
481.602374,1000,855.98948
398.316498,1000,872.425039
529.969419,1000,889.1866
431.914894,1000,904.969923
234.664706,772,919.156992
834.615385,1000,935.627056
560.958904,1000,951.705318
-13.040741,724,958.770524
433.333333,1000,975.55268
304.692082,1000,991.341812
224.232082,1000,1008.333177
636.842105,1000,1024.307599
572.473868,1000,1040.20737
279.152174,666,1053.221111
473.426573,1000,1069.307566
152.559727,1000,1085.977913
-14.868864,505,1091.17784
211.137793,903,1106.511935
841.580756,1000,1122.215557
32.258065,1000,1140.504901
373.484848,1000,1158.289129
288.489209,1000,1174.699507
366.666667,1000,1191.554569
748.920863,1000,1207.232641
296.121884,1000,1223.321585
867.625899,1000,1239.518038
586.41115,1000,1255.731575
412.820513,1000,1272.191824
499.315068,1000,1288.202911
866.9967,1000,1305.1934
449.342105,1000,1321.43601
545.614035,1000,1337.569774
339.285714,1000,1353.60532
297.260274,1000,1371.278604
430.405405,1000,1387.542263
457.432432,1000,1404.160685
262.179487,1000,1419.894199
523.188406,1000,1435.82723
150.0,1000,1451.579134
765.359363,949,1467.974824
551.315789,1000,1483.739797
826.045016,1000,1502.414481
487.662338,1000,1518.245873
893.464052,1000,1536.119284
885.663082,1000,1553.130204
886.30137,1000,1568.92209
896.402878,1000,1584.566906
875.0,1000,1600.702721
859.107807,1000,1610.327545
839.393939,1000,1626.248139
887.654321,1000,1642.604744
559.863946,1000,1659.204021
642.138365,1000,1675.294377
854.545455,1000,1691.704349
400.0,1000,1707.876308
858.015267,1000,1724.251657
410.56338,1000,1740.139529
886.928105,1000,1756.414257
834.782609,1000,1771.654375
523.906706,1000,1787.707132
886.754967,1000,1803.935386
364.497041,1000,1820.118556
844.852941,1000,1835.652832
904.1,959,1853.380998
843.661972,1000,1870.798393
854.545455,1000,1887.009418
507.773852,1000,1903.290976
479.341791,924,1919.209456
225.427848,829,1933.477735
784.244373,1000,1949.65757
869.178082,1000,1966.070781
873.684211,1000,1982.365434
868.965517,1000,1998.04985
585.314685,1000,2015.027495
925.8,742,2022.087875
