#{"t_start": 1761931394.9189022, "env_id": "CarRacing-v3"}
r,l,t
-54.703833,1000,9.216888
-39.163498,1000,24.868272
-39.0681,1000,41.182108
-73.076923,1000,58.949467
-22.839506,1000,74.28376
-45.525292,1000,90.407968
-65.517241,1000,105.724592
33.333333,1000,122.067706
-54.861111,1000,137.34815
-44.767442,1000,152.591859
-75.757576,1000,167.767109
-34.707904,1000,183.296919
60.305344,1000,198.461691
53.225806,1000,214.407001
-25.925926,1000,230.116316
-32.20339,1000,245.427397
-60.714286,1000,260.941149
-24.528302,1000,276.588579
138.90785,1000,291.882536
-24.137931,1000,308.947176
-77.848101,1000,325.075298
-47.194719,1000,340.961344
-39.799331,1000,356.616831
-15.708812,1000,371.971987
50.877193,1000,387.407742
257.142857,1000,405.239881
267.892977,1000,420.855494
49.090909,1000,437.461452
248.920863,1000,452.779538
-17.218543,1000,469.171903
169.736842,1000,485.563517
85.314685,1000,501.59903
54.573783,665,507.953725
-88.823529,551,520.147902
415.625,1000,536.52024
320.4947,1000,552.416065
588.644689,1000,568.707787
292.086331,1000,584.911433
382.142857,1000,600.589478
329.577465,1000,616.433495
534.146341,1000,632.580587
40.410959,1000,648.96732
-56.308759,440,653.15487
673.519164,1000,669.525012
612.871287,1000,685.486032
818.803419,1000,701.252591
423.121387,1000,717.137847
738.345865,1000,733.356166
669.230769,1000,750.160853
385.507246,1000,768.896658
464.66877,1000,787.300207
580.0,1000,804.937149
311.392405,1000,821.425944
524.561404,1000,838.18352
245.588235,1000,854.377896
774.100719,1000,870.665857
811.660777,1000,887.887498
463.758389,1000,903.409327
598.245614,1000,919.76452
809.747292,1000,936.246096
866.789668,1000,952.36396
554.723127,1000,968.598463
618.045113,1000,985.515131
331.818182,1000,1001.646677
710.810811,1000,1018.103569
889.43662,1000,1033.86044
327.184466,1000,1050.03711
345.255474,1000,1066.219262
137.410072,1000,1082.749097
23.873469,599,1088.661849
302.135231,1000,1105.155105
251.791531,1000,1121.075688
799.224806,1000,1139.336171
672.334294,1000,1157.154106
251.265823,1000,1173.306383
278.091873,1000,1190.317471
509.677419,1000,1206.189061
31.487889,1000,1222.06169
570.250896,1000,1238.207037
410.067114,1000,1254.384033
433.557047,1000,1270.960663
430.909091,1000,1286.979066
152.873563,1000,1303.995261
220.819113,1000,1320.040645
355.782313,1000,1336.372379
731.649832,1000,1352.392884
321.568627,1000,1370.012702
356.834532,1000,1386.217305
774.538745,1000,1402.788696
792.255892,1000,1418.701702
252.244828,582,1423.905073
800.684932,1000,1439.538907
526.198083,1000,1456.020868
349.122807,1000,1472.544147
396.855346,1000,1488.635639
599.367089,1000,1506.838956
453.505535,1000,1522.743484
857.746479,1000,1540.944612
209.859155,1000,1557.767485
815.384615,1000,1573.272724
914.6,854,1587.898646
865.732087,1000,1604.031802
847.040498,1000,1620.221331
835.114504,1000,1636.056182
535.451505,1000,1652.859862
829.054054,1000,1669.138983
450.458716,1000,1685.393162
702.816901,1000,1701.536928
659.197324,1000,1717.871839
715.699659,1000,1734.17725
311.538462,1000,1750.248032
519.047619,1000,1766.164209
336.482085,1000,1781.720365
335.54007,1000,1797.907111
447.89272,1000,1814.092922
846.808511,1000,1829.842614
531.944444,1000,1847.778557
384.09894,1000,1857.100941
554.109589,1000,1874.518804
367.924528,1000,1890.991671
865.648855,1000,1907.409643
848.148148,1000,1923.500569
734.355828,1000,1939.673782
585.185185,1000,1955.369058
847.735192,1000,1972.449898
533.846154,1000,1988.193612
421.582734,1000,2004.743241
849.832776,1000,2020.976971
